track_name,artists,popularity,track_genre
Unholy (feat. Kim Petras),Sam Smith;Kim Petras,100,"dance, pop"
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,99,hip-hop
La Bachata,Manuel Turizo,98,"latin, latino, reggae, reggaeton"
I'm Good (Blue),David Guetta;Bebe Rexha,98,"dance, edm, pop"
Tití Me Preguntó,Bad Bunny,97,"latin, latino, reggae, reggaeton"
Me Porto Bonito,Bad Bunny;Chencho Corleone,97,"latin, latino, reggae, reggaeton"
Efecto,Bad Bunny,96,"latin, latino, reggae, reggaeton"
Under The Influence,Chris Brown,96,"dance, pop"
I Ain't Worried,OneRepublic,96,"piano, pop, rock"
Ojitos Lindos,Bad Bunny;Bomba Estéreo,95,"latin, latino, reggae, reggaeton"
