track_name,artists,popularity,track_genre
Clean White Noise - Loopable with no fade,White Noise Baby Sleep;White Noise for Babies,85,sleep
The Night We Met,Lord Huron,83,"folk, indie"
Experience,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,79,"ambient, classical"
Sunsetz,Cigarettes After Sex,78,"ambient, indie-pop, indie"
i was all over her,salvia palth,77,"emo, indie-pop"
Imagine - Remastered 2010,John Lennon,77,rock
Thereâ€™d Better Be A Mirrorball,Arctic Monkeys,77,"garage, indie, rock"
Something In The Way,Nirvana,76,"alt-rock, alternative, grunge, rock"
Deep Sleep Recovery Noise,Water Sound Natural White Noise,76,sleep
Everybody Hurts,R.E.M.,75,"alt-rock, alternative"
