track_name,artists,popularity,track_genre
See You Again (feat. Charlie Puth),Wiz Khalifa;Charlie Puth,82,"dance, hip-hop, pop"
No Guidance (feat. Drake),Chris Brown;Drake,80,dance
Happier Than Ever,ASTN,76,"chill, soul"
Forever,ilyTOMMY,71,"emo, sad"
You Broke My Heart Again,Teqkoi;Aiko,71,"chill, sad"
Collide (Sped Up Remix),Justine Skye;Tyga,68,"alternative, chill"
You Said,Connor Price,68,sad
Walk Away,SadBoyProlific;Aiko;Teqkoi,68,sad
Walked Through Hell,Anson Seabra,68,"singer-songwriter, songwriter"
Waalian,Harnoor,67,pop
