track_name,artists,popularity,track_genre
Super Freaky Girl,Nicki Minaj,92,"dance, hip-hop"
La Llevo Al Cielo (Ft. Ã‘engo Flow),Chris Jedi;Anuel AA;Chencho Corleone;Ã‘engo Flow,88,"latino, reggae, reggaeton"
After LIKE,IVE,88,k-pop
Bad Decisions (with BTS & Snoop Dogg),benny blanco;BTS;Snoop Dogg,87,"dance, electro, pop"
Talk that Talk,TWICE,86,k-pop
positions,Ariana Grande,85,"dance, pop"
Deep Down (feat. Never Dull),Alok;Ella Eyre;Kenny Dope;Never Dull,84,"electro, house"
Hips Don't Lie (feat. Wyclef Jean),Shakira;Wyclef Jean,84,"dance, latin"
Hot In It,Tiësto;Charli XCX,84,"edm, house, trance"
Bamba (feat. Aitch & BIA),Luciano;Aitch;BIA,84,german
