track_id,track_genre
0000vdREvCVMxbQTkS888c,german
000Iz0K615UepwSJ5z2RE5,minimal-techno
000qpdoc97IMTBvF8gwcpy,minimal-techno
000RDCYioLteXcutOjeweY,hip-hop
0017XiMkqbTfF2AUOzlhj6,comedy
001APMDOl3qtx1526T11n1,"chill, soul"
001pyq8FLNSL1C8orNLI0b,bluegrass
001YQlnDSduXd5LgBd66gT,"punk-rock, ska"
002qpSULhHAw6DGqFxbaO1,happy
002uYDBLOvJz21C4FuArDS,drum-and-bass
003lo4y8gOylAqDs2scLx2,idm
004G9E3EZhxxn5aE9yEQqx,punk-rock
004h8smbIoAkUNDJvVKwkG,"emo, sad"
004iWPkSRbvOEvAPLWHl9M,honky-tonk
0051nJ5xbRu8kuqPTYa9l7,industrial
005NLlv3rClEVqeoSyYTHU,j-dance
005U5ZHLoA4OEkWewAa32S,grindcore
0068lzo1xXa9ED8ThypHU1,french
006ATYzgynEKIPgVaT5LQM,world-music
006Bi4j0yzwOc3y69GOlYV,hard-rock
006c9li2Mybyg5vm6doEfO,drum-and-bass
006rHBBNLJMpQs8fRC2GDe,"forro, pagode, sertanejo"
006tmNZLXEXPqdb23wwSN1,"j-pop, j-rock, jazz, turkish"
0072MKNpMeJNx8aRfTNfQW,indian
007NMTR9MQrqwCmbjNSjKj,children
007t1Fel5tcxHOEfSYWuGM,j-rock
007ufdfvS8NxnwuwSkOdw4,power-pop
0084XCqFNqZ5K8DliXVSXh,comedy
008KWijTsFnZRK3E7oGNxl,pagode
009DZE5shRgOEnMD47h9uW,romance
009MGoCC568mI1yvsbmTxw,study
00a5Fzao5KLmrJ68NJUYGF,malay
00aSDBuUmwNS4KsaqremLb,spanish
00At7PWydsvg7g5xgaYan9,drum-and-bass
00b0xXXPbLvZkMa7JcJ2RT,hardstyle
00B7SBwrjbycLMOgAmeIU8,"alt-rock, funk, metal"
00BHbc5GB5d35gsi8IsmZl,afrobeat
00bOo6r6YhVnxzDu4JhCWX,"folk, indian"
00btR3u8FwO3Ip97Az3nZM,drum-and-bass
00BWHAHghYsZzxfqS6P9vg,black-metal
00BxnRDndJwA67Rvi7iqUC,opera
00BYitnjj9tACCkLapk5uS,grunge
00C0DktT4pif6k7pVghYuI,show-tunes
00C93bsNIjHStKvr1lPJee,heavy-metal
00CAvtdfEEtWRkEN6Km2AW,study
00cCBPlCmZfnOM49RKOl88,malay
00CKqQSBhAr2gePvyIzk0P,heavy-metal
00cOxhAsTPnrbwuc6pBh0h,malay
00Coyxt9mTec1acC52qtWa,k-pop
00CsDW3I9XueUvaXnAvGMm,progressive-house
00DuOxungwHwVUX2m37P0P,acoustic
00EAiVX99rZ4rlYFLItPcC,anime
00EAqLJcJP8IAzOmJ9q5g8,ambient
00EFWaqXnHZ5smJNsHtnGV,dubstep
00EqiscplImrxqlRb4VMsZ,iranian
00EsQxsJv6vy7hEQN3jZWG,"singer-songwriter, songwriter"
00FDHurakzVEiPutdUxXXq,synth-pop
00frrtnFga2Bz2s06EazHw,hardstyle
00fzPML4lrNag28OPzsB93,mpb
00GRoWhqbLHfqOpfsx4pli,heavy-metal
00GVRTIWMjYwwHEjTLclgf,"chicago-house, detroit-techno"
00hjQ7CtDG56cIJP0iNupY,disney
00hPnVmMynXSUIeIXapFZE,afrobeat
00hTMcTeaaMtjBCV30yAm9,salsa
00hTw7P6jPUio5Qgojw38w,"emo, punk-rock, punk"
00I41xsW6SunZDJ5fB8KAd,k-pop
00IiTu5o9IVasXMX3udpZo,"punk-rock, punk"
00IjIaUaMCFG5gPE4PrDdG,kids
00IkpLspkS5EvJkp2EyWhR,disco
00iwQgjIgoGO94BRBDyClo,chill
00IXrawIDidTg6RrN3pt6X,black-metal
00j7NgyKytDYlBEpIv4QPQ,"emo, punk-rock"
00J8yszzb5PR6ZIvSBtg0Y,k-pop
00K3yuFVb33hBNoEyWcdnj,blues
00k6JaeZZxi2OgRReZUn3P,drum-and-bass
00kdRLdYyxzWqCDylzZplh,hardstyle
00KfIFi2TpAaQGPbRbFbKJ,"indie, grunge, metal"
00KPxBKmSKv26ComPaEZe8,french
00ksbuvA6JJ49pthpV1ZRI,disco
00KSN0qtGSeYX9qFClCEcg,pop-film
00kVj18BmiLmiB8PUJWZ4G,pagode
00kWP7HRLE3c0uI3W6DISD,kids
00kZX8Ne9wNJoChq7KzEpg,"j-rock, rockabilly"
00L0P49dBUYKHaeCZF5Q9i,romance
00L5VK0Etex3Kolo7iglIV,gospel
00LmM2QLGpfb5NC7PC7qqZ,"afrobeat, brazil"
00LvoGJplEaTcFLC0wIrQ9,mandopop
00mfpZJuEKEUOtzaLwyemV,bluegrass
00mgT6B4SaiN2KpCw8lrrE,j-idol
00Mk0LnP5u2W5yJmJpG4va,synth-pop
00mO8JKk2wQ7VqdPcY1r4O,synth-pop
00MVmhRLK69vu0qCcgsM60,anime
00MzADTo5mKZHI0crdQ84L,j-rock
00NenVXc1ciWotMBpgGiQz,romance
00nhNSSHhGVbd0h01FCkFc,comedy
00nmZvZRyzQiYe2tAcDDUb,"hardcore, j-rock"
00nrx6fvoi2U0ojp5Jc5a6,drum-and-bass
00nsjCr5DOE66aoBRsiOCd,synth-pop
00NxqOPo7bEF9QFNU4bJj8,opera
00NXXGqY8X8nkHZgxGEEJP,german
00NZcRjpixxnyUwltRhj7V,honky-tonk
00Ofee5Bbfstz49RfSL0oM,funk
00OHXqfI4QQN25lbIipmaZ,show-tunes
00okrW9OfjmG0PZJSY3fJd,punk
00OOn0q7Zudq4VHJYkLbUJ,tango
00orPZkzsOCrPiF8pWyoDA,guitar
00oZhqZIQfL9P5CjOP6JsO,"british, psych-rock"
00p8hvNEUv4qysRa5FhbkH,honky-tonk
00PBSElFPJbnIcFS7orAm2,"latin, latino, reggae, reggaeton"
00PHHvUVQ1fbkJbD3Tx5gM,happy
00pjRnbDU5A0hmYHFXlsJh,black-metal
00PnFrg2QQzPqkeuxGxcz9,piano
00PXj8pxWLJ3apEnCPJTNI,pop-film
00pXmbtlToZQKFIPTKZpM2,industrial
00qaydBkSEAZAMkf75CfsU,dub
00QgsZma0GDCL0BPj8chP6,j-rock
00qgt8jorpSKSgNIesSXk1,comedy
00r6omMNTuBPImjlLWtB3V,"deep-house, groove"
00rE6LoeSSJ0C5nRyltzqT,hardstyle
00REsurT9T9JF6CxhT4h39,turkish
00RLfhwjN0Sg4hIkzZ7X7l,salsa
00Rptyyrh7YXjPwjd7SAsV,"pagode, samba"
00RrOc0e6AlGWXRd9FERYR,tango
00RTPYo7pvEqHGOyLZWyJu,club
00SS0GOzQ6A1zxBvtblkWr,happy
00t7QTffOR3SA3L1BvSQVq,hardcore
00TFDHSe7s8cWm5CzDY8UP,electronic
00tFl7H7UaITu6p9PM6UJM,"latin, spanish"
00tmncKNivQuNIXAhvI2ZU,world-music
00tVVn9y5Ar2mmfiN0Bjmq,"r-n-b, rock-n-roll, soul"
00UJgymLK9v1sGxEMTz5wl,chicago-house
00UoBmyOfYNPbiQUKWu07R,goth
00utEhrTFR6V4HEuLh2ncI,piano
00uTtxaqbG0jPPjPCZx37Q,"j-rock, rockabilly"
00UZySJXRYQgnOrlzluIIm,"funk, sertanejo"
00vBYubSgzkrsIHBn4bopV,hardcore
00VxUWUIKIY3DphqHzZjK5,malay
00w1seIGyst9ZBptlMRGh2,guitar
00X8QXyQ4QAkcpeGzcg5bC,synth-pop
00Xf7wRRRAnCeghgsv7beW,death-metal
00XqffdqeCoKStAvgGnR6Y,iranian
