track_id,track_name,artists,track_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,time_signature
0XEdWfsTNOs,Selvagem,"Filipe Ret, Prod.MTS, & Woozy","pop, synth-pop",0.728004,0.8647,4.0,-3.783234,-0.0,0.075723,0.249443,0.059209,0.1988,0.450225,127.137919,60000.003767,0.0,4.0
1ijq-_5eFVo,Burguesinha (Ao Vivo),Seu Jorge,samba,0.550263,0.838402,9.0,-5.66948,1.0,0.113929,0.209074,-0.0,0.1988,0.851419,141.493387,60000.003767,0.0,4.0
2nR1zrNzgcY,FE!N,Travis Scott,dance,0.539183,0.8647,10.0,-2.054141,1.0,0.132655,0.050536,-0.0,0.1988,0.894979,149.93778,60000.003767,0.0,4.0
3DkGRv7Zho0,Ela É do Tipo,MC Kevin O Chris,baile funk,0.832837,0.593753,10.0,-8.182814,-0.0,0.109763,0.343654,-0.0,0.1988,0.347744,90.223855,60000.003767,0.0,4.0
3Hv15tWOGBc,morrer de viver,Carol Biazin,pop,0.602755,0.843021,1.0,-5.628373,1.0,0.136535,0.108275,-0.0,0.1988,0.875484,101.298076,60000.003767,0.0,4.0
-3Mqt7SZJGw,Meu Cupido É Gari (Ao Vivo),Marília Mendonça,sertanejo,0.602496,0.8647,6.0,-4.972671,-0.0,0.097762,0.246025,-0.0,0.1988,0.450994,159.437723,60000.003767,0.0,4.0
5fQuNus24aU,That's My Way,Edi Rock & Bagua Records,"pop animado, dance-pop",0.715143,0.8647,10.0,-3.177666,1.0,0.071948,0.265829,0.074307,0.1988,0.846538,81.293031,60000.003767,0.0,4.0
-5GI38vWew8,Taste,Sabrina Carpenter,pop,0.545181,0.8647,10.0,-4.762105,-0.0,0.140004,0.046211,-0.0,0.1988,0.495952,110.285847,60000.003767,0.0,4.0
5IHj9A7t_xI,Taiobeiras (folha grande),Marina Sena,pop,0.513798,0.773372,2.0,-6.269858,-0.0,0.056691,0.423029,0.135335,0.1988,0.38377,84.071512,60000.003767,0.0,4.0
5VdtCNXPd3k,Feio É Elogio,"Sid, Aline Mc, Chiocki, & Rodrigo Chiocki Nascimento","pop, synth-pop",0.878046,0.794796,1.0,-6.06744,-0.0,0.155642,0.069637,-0.0,0.1988,0.469711,127.137919,60000.003767,0.0,4.0
62yox0F5lcA,Please Please Please,Sabrina Carpenter,pop,0.593605,0.8647,9.0,-5.317163,-0.0,0.082143,0.259121,0.033528,0.1988,0.448048,105.604715,60000.003767,0.0,4.0
7nVctvQVz0U,The Fate of Ophelia,Taylor Swift,pop,0.582847,0.8647,0.0,-5.365303,-0.0,0.087596,0.242546,0.011717,0.1988,0.451777,120.985575,60000.003767,0.0,4.0
7QdxYR7Xcn4,Mágico,Marina Sena,pop,0.725692,0.8647,2.0,-5.207648,1.0,0.070399,0.293073,0.080505,0.1988,0.840409,127.137919,60000.003767,0.0,4.0
9-QsLBtiLss,Pain,PinkPantheress,pop,0.663821,0.615781,11.0,-7.924266,1.0,0.087622,0.200363,0.01161,0.1988,0.786593,120.985575,60000.003767,0.0,4.0
9YFR8pOPoDk,Gostar Só Dela - Na Maloca Dragão,Selvagens à Procura de Lei,rock,0.494105,0.75049,8.0,-6.491383,-0.0,0.066647,0.359736,0.095513,0.1988,0.391147,133.937877,60000.003767,0.0,4.0
AHRXpJmqdCw,Carrossel em Câmera Lenta,Selvagens à Procura de Lei,rock,0.498574,0.807661,11.0,-5.948129,-0.0,0.086418,0.383777,0.016427,0.1988,0.402888,127.137919,60000.003767,0.0,4.0
ai3CrAvoabQ,Promessas e Previsões,Ana Frango Elétrico,mpb,0.551439,0.595678,7.0,-8.159908,-0.0,0.067449,0.418374,0.092304,0.1988,0.33151,120.985575,60000.003767,0.0,4.0
aYdRRUs85w8,Boy's a liar Pt. 2,PinkPantheress & Ice Spice,pop,0.687405,0.8647,5.0,-5.074932,1.0,0.066292,0.314007,0.096934,0.1988,0.835698,133.937877,60000.003767,0.0,4.0
B-EckzBRxks,VEJA BABY,Lagum,pop,0.65249,0.791358,11.0,-6.09961,-0.0,0.082504,0.25897,0.032084,0.1988,0.426079,97.322714,60000.003767,0.0,4.0
BwGZKIx5FN8,Amiga da Minha Mulher,Seu Jorge,mpb,0.704197,0.796227,9.0,-6.054095,-0.0,0.090114,0.303392,0.001646,0.1988,0.417545,101.298076,60000.003767,0.0,4.0
bWSn9jL1g7I,Burguesinha,Seu Jorge,samba,0.616763,0.849268,9.0,-5.573081,1.0,0.10437,0.183488,-0.0,0.1988,0.860436,133.937877,60000.003767,0.0,4.0
bxgs0ezFkZY,Amor Traumatizado,Carol Biazin,forro,0.628415,0.8647,11.0,-2.91895,1.0,0.026904,0.44343,0.254483,0.1988,0.806578,87.041608,60000.003767,0.0,4.0
C7cQ7H8pLHY,Tipo Gin (Ao Vivo),MC Kevin o Chris,baile funk,0.685913,0.8647,5.0,-3.349673,-0.0,0.064685,0.28965,0.103358,0.1988,0.441179,127.137919,60000.003767,0.0,4.0
Cmm9coKobBM,Nobody's Son,Sabrina Carpenter,pop,0.521035,0.8647,9.0,-5.041417,-0.0,0.125937,0.111632,-0.0,0.1988,0.481233,84.071512,60000.003767,0.0,4.0
CVRay3gdTv4,Mulher Homem Bicho,Ana Frango Elétrico,dance,0.576983,0.42153,11.0,-10.523543,-0.0,0.088423,0.259167,0.008408,0.1988,0.315086,141.493387,60000.003767,0.0,4.0
DigOpTJEMWk,Outro Alguém,Lagum,pop,0.490917,0.469656,4.0,-9.803527,-0.0,0.062748,0.357716,0.111108,0.1988,0.307351,120.985575,60000.003767,0.0,4.0
DntZ3-yCaFs,Manchild,Sabrina Carpenter,pop,0.590327,0.821677,7.0,-5.819971,-0.0,0.119149,0.169323,-0.0,0.1988,0.455345,120.985575,60000.003767,0.0,4.0
E2lX1ZovtcA,Give Me Everything,"Pitbull, Afrojack, & Ne-Yo",pop,0.604322,0.8647,3.0,-4.174859,-0.0,0.147684,0.070374,-0.0,0.1988,0.490516,127.137919,60000.003767,0.0,4.0
eG8L5C5ZTdg,Aquecimento Senta Senta Suave,MC Kevin o Chris & BUARQUE,pop,0.739688,0.812998,0.0,-5.8991,-0.0,0.114662,0.254788,-0.0,0.1988,0.433512,133.937877,60000.003767,0.0,4.0
eW6RsSBANDQ,BACARDI,Carol Biazin,pop,0.691273,0.8647,0.0,-4.067165,-0.0,0.05473,0.250055,0.143179,0.1988,0.450088,149.93778,60000.003767,0.0,4.0
FjOhnPD_RXo,Tears,Sabrina Carpenter,pop,0.585147,0.8647,9.0,-4.695604,1.0,0.13833,0.053161,-0.0,0.1988,0.894389,110.285847,60000.003767,0.0,4.0
gHb6AEwNFBU,Trance,"Metro Boomin, Travis Scott, & Young Thug",hip-hop,0.657264,0.8647,8.0,-2.770533,1.0,0.031646,0.390667,0.235515,0.1988,0.81845,115.392535,60000.003767,0.0,4.0
gM_gmPpyhIo,Coisa Maluca,Ana Frango Elétrico,indie-pop,0.691666,0.401067,2.0,-10.848754,-0.0,0.08584,0.145097,0.018742,0.1988,0.334613,120.985575,60000.003767,0.0,4.0
Gp-V1PqVQXs,Your Love Is My Drug,Kesha,pop,0.704942,0.777596,10.0,-6.229574,1.0,0.170722,0.012142,-0.0,0.1988,0.877487,115.392535,60000.003767,0.0,4.0
gwxxMkZwgzU,Enquanto Eu Passar Na Sua Rua,Selvagens à Procura de Lei,rock,0.509614,0.809549,8.0,-5.930756,-0.0,0.088972,0.313439,0.006214,0.1988,0.419281,101.298076,60000.003767,0.0,4.0
H0aITA8gAd8,Numa Ilha,Marina Sena,pop,0.715054,0.8647,6.0,-4.542985,-0.0,0.024933,0.503799,0.262366,0.1988,0.392995,127.137919,60000.003767,0.0,4.0
hvyWTSZgsdU,assumo os riscos,Carol Biazin,pop,0.543645,0.808151,0.0,-5.943616,-0.0,0.083847,0.256001,0.026713,0.1988,0.431785,133.937877,60000.003767,0.0,4.0
iHsObIWkM-s,Stateside + Zara Larsson,PinkPantheress,pop,0.646762,0.8647,10.0,-2.984313,1.0,0.075988,0.247227,0.058149,0.1988,0.850724,120.985575,60000.003767,0.0,4.0
J-jLcLdM87o,São Gonça (Ao Vivo),Seu Jorge,mpb,0.539314,0.443263,9.0,-10.190991,-0.0,0.111019,0.215379,-0.0,0.1988,0.331459,149.93778,60000.003767,0.0,4.0
Jk5gEu7mKKU,Despedida,Selvagens à Procura de Lei,rock,0.482993,0.763744,8.0,-6.362378,-0.0,0.086159,0.361185,0.017465,0.1988,0.394797,105.604715,60000.003767,0.0,4.0
JpfS2Lv2xRA,Evoluiu,Mc Kevin O Chris & Sodré,house,0.810656,0.8647,0.0,-4.455302,-0.0,0.091152,0.257788,-0.0,0.1988,0.448348,141.493387,60000.003767,0.0,4.0
kEOndjrnRac,Baby míssil,Sophia Chablau e Uma Enorme Perda de Tempo,indie,0.5223,0.467835,1.0,-9.829711,1.0,0.116694,0.173459,-0.0,0.1988,0.748262,133.937877,60000.003767,0.0,4.0
